Member_number,Date,itemDescription
1048,2015-10-06,"rolls/buns, condensed milk, whole milk, soda"
1048,2015-10-18,"rolls/buns, tropical fruit"
1049,2014-01-07,"specialty bar, margarine"
1049,2015-07-01,"butter, whole milk"
1049,2015-08-04,"white bread, candy"
1049,2015-09-05,"frankfurter, herbs"
1050,2014-02-15,"waffles, beverages"
1050,2014-03-06,"house keeping products, yogurt"
1050,2014-05-30,"pasta, yogurt, cat food"
1050,2014-10-10,"whipped/sour cream, hygiene articles"
1050,2014-10-12,"UHT-milk, other vegetables, dishes"
1050,2015-05-04,"meat, whole milk"
1051,2014-01-13,"hamburger meat, bottled beer"
1051,2014-09-17,"pork, coffee, frozen vegetables"
1051,2014-12-26,shopping bags
1051,2015-08-12,"other vegetables, soda, rolls/buns, dishes"
1051,2015-10-12,"tropical fruit, other vegetables, hamburger meat, popcorn, female sanitary products"
1051,2015-11-10,"fish, tropical fruit, red/blush wine, cream cheese "
1052,2014-01-04,"beef, shopping bags"
1052,2014-01-15,"root vegetables, grapes"
1052,2014-03-24,"chicken, beverages, coffee"
1052,2014-09-29,"butter, dog food"
1052,2014-10-13,"soda, whole milk"
1052,2014-11-20,"bottled water, chewing gum"
1052,2014-12-05,"soda, hamburger meat"
1052,2015-05-15,"frankfurter, whipped/sour cream"
1052,2015-07-06,"butter milk, yogurt, margarine"
1052,2015-10-27,"pork, other vegetables, yogurt, shopping bags, soft cheese, detergent"
1053,2014-04-30,soda
1053,2014-05-16,"waffles, rolls/buns"
1053,2014-05-23,"whole milk, sugar"
1053,2014-11-05,"chicken, frozen vegetables"
1053,2014-12-10,"other vegetables, whole milk"
1053,2015-07-09,"hamburger meat, pastry"
1054,2014-01-16,"soda, fruit/vegetable juice"
1054,2015-09-02,"bottled beer, oil"
1054,2015-10-04,"frankfurter, citrus fruit, margarine"
1054,2015-10-21,"photo/film, other vegetables"
1055,2014-08-05,"pork, white wine"
1055,2015-05-25,"bottled water, yogurt, newspapers, soda"
1056,2014-09-24,"ham, whole milk"
1056,2015-09-13,"pip fruit, other vegetables"
1056,2015-11-09,"whipped/sour cream, meat spreads"
1057,2014-01-06,"soda, domestic eggs, sliced cheese"
1057,2014-03-05,"salty snack, pickled vegetables"
1057,2014-06-08,"tropical fruit, UHT-milk"
1058,2014-05-24,"chicken, other vegetables"
1058,2014-08-07,"yogurt, root vegetables"
1058,2015-04-06,"sausage, bottled water"
1058,2015-11-10,"root vegetables, other vegetables"
1059,2014-06-11,"dessert, spread cheese"
1059,2014-06-14,"sausage, salty snack, cling film/bags"
1061,2014-03-17,"soda, fruit/vegetable juice, bottled beer"
1061,2014-05-19,"beef, chocolate"
1061,2014-07-31,"whipped/sour cream, hard cheese"
1061,2014-10-23,"beverages, dessert"
1061,2015-09-05,"whole milk, tropical fruit, root vegetables, Instant food products, margarine"
1062,2014-01-26,"whole milk, sauces"
1062,2014-05-08,"white bread, frozen fruits"
1062,2014-11-07,"ham, whipped/sour cream, ketchup"
1062,2015-04-16,"tropical fruit, whole milk, other vegetables, long life bakery product"
1062,2015-09-18,"other vegetables, yogurt, whole milk, butter, shopping bags"
1063,2014-06-07,"whole milk, citrus fruit"
1063,2015-01-23,"rolls/buns, candy"
1064,2014-04-21,"cream cheese , rolls/buns"
1064,2014-09-03,"root vegetables, whole milk"
1064,2015-07-25,"long life bakery product, root vegetables, other vegetables"
1065,2014-01-14,"tropical fruit, whole milk, long life bakery product, rum"
1065,2014-01-23,"hamburger meat, soda"
1065,2014-11-05,"tropical fruit, rolls/buns"
1065,2014-12-25,"red/blush wine, frozen fish"
1065,2015-10-27,"beef, dessert"
1065,2015-11-13,"frankfurter, tropical fruit"
1066,2014-02-01,"root vegetables, bottled beer"
1066,2014-05-15,"whole milk, other vegetables"
1066,2014-06-12,"oil, shopping bags"
1067,2015-03-05,"whole milk, tropical fruit"
1067,2015-04-08,"hamburger meat, pork"
1067,2015-07-20,"rolls/buns, tropical fruit, coffee, chocolate"
1068,2014-03-08,"soda, yogurt"
1068,2015-07-01,"pork, spread cheese"
1069,2014-01-20,"pork, rolls/buns"
1069,2014-05-20,"brown bread, fruit/vegetable juice"
1069,2014-12-18,"salt, domestic eggs"
1069,2015-08-20,"bottled beer, tropical fruit, sliced cheese, dishes"
1070,2014-04-10,"citrus fruit, red/blush wine"
1070,2014-11-05,"cream cheese , newspapers"
1071,2014-09-26,"yogurt, roll products , fruit/vegetable juice"
1072,2014-06-23,"ham, other vegetables"
1072,2015-10-23,"frankfurter, canned beer"
1073,2014-03-21,"brown bread, salt"
1073,2014-06-05,"yogurt, bottled water, domestic eggs"
1073,2015-06-08,"pip fruit, curd, prosecco"
1073,2015-12-03,"finished products, brown bread, dishes"
1074,2014-01-29,"detergent, candy"
1074,2014-02-04,"semi-finished bread, ketchup"
1074,2014-05-08,"oil, shopping bags"
1074,2015-06-24,"misc. beverages, instant coffee"
1074,2015-10-16,"fruit/vegetable juice, flower (seeds)"
1075,2014-06-19,"UHT-milk, canned fish"
1075,2015-01-29,"pip fruit, rolls/buns"
1075,2015-07-20,"frankfurter, frozen meals, dishes"
1075,2015-11-19,"frankfurter, citrus fruit, bottled water, fruit/vegetable juice"
1076,2014-12-24,"sausage, brown bread"
1076,2015-05-14,"frankfurter, chicken, butter, bottled water"
1076,2015-06-12,"sausage, butter, bottled water"
1076,2015-10-14,"ham, whole milk, coffee"
1077,2014-07-17,"pastry, pasta"
1077,2014-08-30,"canned beer, rolls/buns, artif. sweetener, soda"
1077,2014-09-29,"white bread, brown bread"
1077,2014-10-07,"other vegetables, butter"
1077,2014-12-30,"rolls/buns, root vegetables"
1077,2015-09-12,"tropical fruit, soda"
1078,2014-08-28,"chicken, soda"
1078,2015-10-28,"frankfurter, curd, white bread, rolls/buns, coffee"
1079,2014-10-07,"red/blush wine, bottled water, sweet spreads"
1079,2015-09-09,"rolls/buns, onions, napkins"
1080,2014-11-02,"canned beer, soda"
1080,2015-05-14,"root vegetables, frozen vegetables, pet care"
1081,2014-02-11,"beverages, yogurt"
1081,2015-01-21,"tropical fruit, whole milk"
1081,2015-03-06,"other vegetables, frankfurter, newspapers, whole milk, pastry"
1081,2015-04-25,"coffee, butter milk"
1081,2015-05-03,"specialty bar, tropical fruit, yogurt, bottled beer, baking powder"
1082,2014-03-20,"bottled water, hygiene articles"
1082,2014-05-13,"beef, margarine, other vegetables"
1083,2014-07-15,"specialty chocolate, soda, bathroom cleaner"
1083,2014-11-15,"hamburger meat, whole milk"
1083,2015-02-06,"pork, sliced cheese"
1084,2014-04-18,"pip fruit, other vegetables"
1085,2014-04-24,"other vegetables, shopping bags, soda"
1085,2014-05-25,"yogurt, newspapers"
1085,2015-08-15,"root vegetables, citrus fruit"
1086,2014-07-27,"rolls/buns, soda"
1086,2014-09-26,"canned beer, herbs, margarine"
1086,2014-12-10,"ice cream, whipped/sour cream"
1086,2015-11-17,"other vegetables, beef, soda, curd, butter"
1086,2015-12-28,"rolls/buns, citrus fruit"
1087,2014-02-26,"sausage, beverages"
1087,2014-04-20,whole milk
1087,2014-06-19,"specialty chocolate, white bread"
1087,2014-07-25,"other vegetables, whole milk"
1087,2014-10-13,"ham, white bread"
1087,2014-12-11,"coffee, berries"
1087,2014-12-16,"soda, flower (seeds), jam"
1087,2015-03-19,"sausage, pip fruit, chocolate"
1087,2015-08-14,"herbs, pot plants, cake bar"
1088,2015-01-14,"yogurt, berries"
1088,2015-11-09,"whole milk, hard cheese"
1088,2015-11-30,"tropical fruit, meat, other vegetables, domestic eggs, baking powder"
1089,2014-12-05,"yogurt, sauces"
1090,2015-08-31,"sausage, whisky, specialty chocolate, dishes, yogurt, napkins, detergent, pastry"
1090,2015-10-04,"beef, yogurt"
1090,2015-10-21,"ice cream, whole milk"
1092,2014-12-10,"yogurt, newspapers"
1092,2015-05-16,"root vegetables, soda, specialty bar, other vegetables, frozen vegetables"
1092,2015-07-03,"photo/film, shopping bags"
1092,2015-07-27,"rolls/buns, grapes, bottled beer, sausage, salty snack, Instant food products, domestic eggs, bottled water"
1092,2015-10-09,"frankfurter, other vegetables, bottled beer"
1093,2015-03-28,"dessert, domestic eggs"
1094,2014-03-11,"whole milk, brown bread"
1094,2014-07-24,"pasta, whole milk, waffles"
1094,2014-08-18,"newspapers, salty snack"
1094,2014-08-26,"chocolate marshmallow, other vegetables"
1094,2014-12-11,"hamburger meat, detergent, flour"
1094,2015-01-07,"sausage, tropical fruit, misc. beverages, root vegetables"
1094,2015-05-16,"tropical fruit, soda"
1094,2015-09-08,"sausage, whole milk"
1095,2014-03-25,"yogurt, shopping bags"
1095,2014-08-06,"pickled vegetables, flour"
1095,2015-10-30,"packaged fruit/vegetables, bottled water, pork, domestic eggs"
1096,2015-07-28,"pip fruit, fruit/vegetable juice"
1097,2014-04-16,"sausage, whole milk, cake bar"
1097,2014-05-03,"shopping bags, root vegetables"
1097,2014-10-12,"whipped/sour cream, curd, shopping bags"
1097,2014-11-26,"hard cheese, whole milk"
1097,2015-09-25,"frankfurter, whipped/sour cream, bottled water"
1097,2015-11-01,"tropical fruit, whole milk, soda, curd"
1098,2014-02-25,"citrus fruit, dessert"
1098,2014-07-19,"tropical fruit, candy"
1098,2015-01-19,"rolls/buns, shopping bags, cat food"
1098,2015-05-07,"canned beer, napkins, rolls/buns"
1098,2015-08-05,"tropical fruit, citrus fruit, yogurt, frankfurter, specialty chocolate, hard cheese, whole milk, canned beer"
1098,2015-09-27,"root vegetables, frozen vegetables, bottled water, cat food"
1098,2015-11-12,"grapes, other vegetables"
1099,2014-07-18,"pip fruit, brown bread"
1099,2014-08-29,"root vegetables, instant coffee"
1099,2015-08-13,"spread cheese, pork"
1100,2014-02-20,"hamburger meat, pasta"
1100,2014-12-18,"whole milk, yogurt"
1100,2015-03-12,"soda, hygiene articles, grapes, pudding powder, butter milk, butter"
1101,2014-09-07,"whole milk, processed cheese"
1101,2014-12-25,"brown bread, sparkling wine"
1101,2014-12-28,"rolls/buns, other vegetables, whipped/sour cream"
1102,2014-02-14,"root vegetables, frozen vegetables"
1102,2014-04-13,"candy, white wine"
1102,2014-09-30,"yogurt, beverages, brown bread"
1102,2015-06-27,"other vegetables, white bread, detergent"
1103,2014-05-25,"chicken, pastry, candles"
1103,2014-07-12,"ice cream, herbs"
1103,2014-07-28,"waffles, hygiene articles, tea"
1103,2014-11-22,"cream, yogurt"
1104,2014-05-09,"yogurt, root vegetables"
1104,2015-01-04,"yogurt, other vegetables, rolls/buns, herbs"
1104,2015-03-18,"domestic eggs, yogurt"
1104,2015-10-27,"pork, whole milk"
1105,2014-06-14,"other vegetables, white bread"
1105,2015-05-22,"bottled water, yogurt, tropical fruit, whole milk"
1107,2014-05-15,"beef, specialty fat, newspapers"
1107,2014-06-14,"onions, newspapers"
1107,2014-07-22,"rolls/buns, semi-finished bread"
1107,2014-08-13,"whole milk, pastry"
1107,2014-09-26,"shopping bags, rolls/buns"
1107,2015-01-03,"liver loaf, chicken, rolls/buns, spread cheese, shopping bags"
1107,2015-05-06,"citrus fruit, misc. beverages"
1107,2015-10-01,"citrus fruit, misc. beverages"
1108,2014-05-22,"pastry, canned beer, whipped/sour cream, grapes"
1108,2014-06-25,"frozen potato products, specialty cheese"
1108,2014-08-22,"salty snack, pastry, oil"
1108,2015-07-30,"brown bread, whole milk, shopping bags"
1109,2014-06-19,"chocolate, whole milk"
1109,2014-10-14,"curd, sugar"
1109,2014-10-31,"pip fruit, margarine"
1109,2014-11-22,"pip fruit, salty snack, pastry"
1109,2015-04-06,"citrus fruit, frozen vegetables, margarine"
1110,2014-05-30,"margarine, yogurt"
1110,2014-09-22,"pickled vegetables, liquor"
1110,2014-10-13,"bottled water, chocolate"
1110,2014-12-11,"soda, salty snack"
1110,2015-09-09,"ham, yogurt"
1110,2015-11-15,"pastry, baking powder, butter, margarine, curd, dishes"
1110,2015-11-20,"whole milk, soda"
1111,2014-03-03,"whole milk, frozen vegetables, soda, UHT-milk"
1111,2014-05-07,"other vegetables, whipped/sour cream"
1111,2014-10-24,"bottled water, flour, sugar"
1111,2015-11-20,"beef, semi-finished bread"
1112,2015-04-09,"dish cleaner, ice cream, jam, newspapers"
1113,2014-01-07,"whole milk, yogurt, newspapers"
1113,2014-02-02,"curd, canned beer"
1113,2015-03-29,"pork, pudding powder, domestic eggs"
1113,2015-08-05,"bottled beer, specialty bar, baking powder"
1114,2014-04-25,"chocolate, brown bread, salty snack"
1114,2014-09-04,"root vegetables, shopping bags"
1114,2014-12-14,"root vegetables, citrus fruit"
1114,2015-03-12,"dog food, sausage, dessert, shopping bags"
1114,2015-04-26,"chicken, shopping bags"
1114,2015-07-10,"misc. beverages, UHT-milk, white bread"
1115,2014-07-31,"turkey, root vegetables"
1115,2014-08-03,"other vegetables, butter"
1115,2014-09-15,"whipped/sour cream, yogurt"
1115,2015-01-22,"other vegetables, yogurt"
1116,2014-03-06,"other vegetables, napkins"
1116,2014-06-22,"brown bread, butter milk, canned vegetables, soda"
1116,2014-08-11,"other vegetables, zwieback"
1116,2014-09-27,"brown bread, soda"
1116,2015-01-29,"other vegetables, cream cheese , liquor, root vegetables, newspapers, hard cheese"
1116,2015-07-23,"chicken, bottled water"
1116,2015-10-08,"newspapers, white bread, rolls/buns, beverages"
1116,2015-11-29,"frankfurter, rolls/buns"
1117,2015-05-24,"meat, whole milk, whipped/sour cream"
1118,2014-03-02,"bottled beer, frozen vegetables, sliced cheese"
1118,2014-11-07,"pip fruit, processed cheese, canned beer"
1118,2014-12-09,"berries, condensed milk"
1118,2015-05-13,"house keeping products, rolls/buns, pickled vegetables, curd"
1118,2015-07-27,"ham, yogurt"
1118,2015-12-25,"whole milk, hair spray, butter, pastry"
1119,2015-02-04,"grapes, whole milk"
1120,2014-08-21,"tropical fruit, sugar"
1120,2015-01-14,"soda, UHT-milk, newspapers, white bread"
1120,2015-06-08,"meat, other vegetables"
1120,2015-06-11,"other vegetables, specialty bar"
1120,2015-07-14,"citrus fruit, brown bread"
1120,2015-09-26,"pastry, condensed milk, rice, tropical fruit, chocolate marshmallow"
1121,2014-03-15,"coffee, shopping bags"
1122,2014-09-25,"chicken, dishes"
1122,2015-06-25,"root vegetables, frozen vegetables"
1122,2015-12-21,"bottled water, citrus fruit"
1123,2014-08-09,"rolls/buns, oil, yogurt"
1123,2014-12-28,"pip fruit, whole milk"
1123,2015-01-31,"frozen vegetables, rolls/buns, cling film/bags"
1123,2015-11-12,"pork, soda, canned vegetables"
1124,2014-03-05,"bottled beer, hygiene articles"
1124,2014-08-23,"yogurt, soda"
1125,2014-05-30,"root vegetables, margarine, rolls/buns"
1125,2014-12-09,"rolls/buns, margarine"
1125,2015-05-12,"condensed milk, shopping bags"
1125,2015-08-27,"sausage, pastry"
1125,2015-11-19,"popcorn, citrus fruit"
1126,2014-11-02,"rolls/buns, whipped/sour cream"
1126,2015-04-29,"misc. beverages, whole milk, long life bakery product"
1126,2015-05-17,"newspapers, pork, root vegetables, napkins"
1127,2014-02-06,"soda, roll products "
1127,2014-04-05,"citrus fruit, soda"
1127,2015-01-14,"frankfurter, rolls/buns, shopping bags, margarine"
1127,2015-10-15,"other vegetables, butter, pastry, UHT-milk"
1128,2014-03-27,"specialty bar, soda, frozen vegetables"
1128,2014-04-26,"liquor, domestic eggs"
1128,2014-05-10,"frankfurter, white bread"
1128,2015-07-05,"meat, coffee"
1129,2014-01-25,"whole milk, baking powder"
1129,2014-04-18,"flower (seeds), white wine"
1129,2014-09-10,"grapes, frozen meals, flower (seeds)"
1129,2014-11-14,"tea, yogurt, shopping bags, brown bread"
1129,2014-12-21,"cream cheese , specialty chocolate"
1130,2014-08-18,"yogurt, softener"
1130,2014-11-01,"margarine, soda"
1130,2015-01-15,"tropical fruit, cream cheese "
1130,2015-09-18,"bottled water, frankfurter, dessert, root vegetables"
1132,2014-11-22,"bottled beer, whole milk"
1132,2015-02-19,"other vegetables, semi-finished bread, rolls/buns, shopping bags, salty snack"
1132,2015-09-22,"soda, whole milk"
1133,2014-03-21,"coffee, shopping bags"
1133,2014-08-03,"yogurt, pastry"
1133,2015-02-26,"sausage, rolls/buns, rice"
1133,2015-03-26,"pork, whole milk, napkins"
1133,2015-08-03,"curd, domestic eggs"
1134,2014-02-18,"cream cheese , newspapers"
1134,2014-05-11,"pastry, brown bread, yogurt"
1134,2014-12-04,"other vegetables, oil"
1135,2015-02-24,"hard cheese, butter"
1135,2015-04-29,"whole milk, other vegetables"
1135,2015-07-10,"sausage, shopping bags, soda, butter, dessert"
1136,2014-05-02,"citrus fruit, flower (seeds)"
1136,2014-05-25,"instant coffee, shopping bags"
1136,2014-06-04,"rolls/buns, fruit/vegetable juice"
1136,2014-07-15,"root vegetables, butter milk"
1136,2014-09-28,"tropical fruit, other vegetables"
1136,2015-01-03,"tropical fruit, butter milk, brown bread"
1136,2015-06-15,"herbs, citrus fruit"
1136,2015-10-29,"other vegetables, beef"
1136,2015-11-03,"tropical fruit, whole milk"
1137,2014-05-16,"nut snack, canned beer"
1137,2015-09-26,"whole milk, other vegetables, sugar"
1138,2014-07-07,"citrus fruit, napkins"
1138,2015-02-24,"rolls/buns, butter milk"
1138,2015-09-02,"whole milk, root vegetables"
1139,2014-01-15,"tropical fruit, soft cheese"
1139,2014-02-02,"rolls/buns, brown bread, canned beer"
1139,2014-10-20,"pork, pickled vegetables"
1139,2015-01-19,"tropical fruit, misc. beverages"
1140,2015-05-01,"photo/film, frankfurter, other vegetables, curd, waffles"
1140,2015-06-26,"pip fruit, other vegetables, cling film/bags"
1141,2014-04-08,"tropical fruit, yogurt"
1141,2014-06-08,"cat food, rolls/buns"
1141,2014-12-02,"rolls/buns, whole milk, soda"
1141,2014-12-15,"berries, white bread"
1142,2014-05-22,"newspapers, soups"
1142,2014-10-13,"other vegetables, napkins"
1142,2014-12-10,"rolls/buns, soda"
1142,2015-06-13,"chicken, brown bread"
1143,2014-07-14,"UHT-milk, soda"
1143,2014-11-14,"pork, soda"
1143,2014-11-18,"oil, pickled vegetables"
1143,2015-01-27,"misc. beverages, spread cheese"
1143,2015-04-25,"soda, whole milk, sugar"
1144,2014-04-08,"root vegetables, coffee"
1144,2014-11-07,"pork, domestic eggs"
1144,2015-01-16,"chicken, domestic eggs, white bread"
1144,2015-01-28,"soda, whipped/sour cream"
1144,2015-04-01,"meat, whole milk"
1144,2015-08-13,"canned beer, fish"
1144,2015-10-15,"hard cheese, root vegetables, white bread"
1145,2014-06-05,"brown bread, other vegetables"
1145,2014-09-13,"bottled beer, soda"
1145,2015-10-07,"tropical fruit, root vegetables"
1146,2014-01-30,"curd, soft cheese"
1146,2014-02-21,"frozen vegetables, pip fruit, root vegetables, cereals"
1146,2014-03-28,"other vegetables, berries, candy, sliced cheese"
1146,2014-05-23,"yogurt, soda"
1146,2014-07-12,"bottled water, shopping bags, waffles"
1146,2015-06-11,"whole milk, bottled beer"
1146,2015-09-12,"pork, margarine"
